序號,商店名稱,售貨員帳號,交易日期,交易時間,是否退款,交易序號,交易類別,卡號,發卡公司,卡別,發票號碼,發票類別,發票狀態,發票列印狀態,載具號碼,買方統編,卡機號碼,清分狀態,清分日期,原始金額,實際扣款金額,優惠金額,退款金額,行動支付交易序號,所屬公司ID,公司ID
1.0,希利創新_7-11 高鳳儀,1952upload,20260204,233831,否,AM69220CFA-260204233831,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,80,80,0,,,1946,1952
2.0,希利創新_7-11 科有,1948upload,20260204,224356,否,AM691200AE-260204224356,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05760,卡機未結帳,,200,200,0,,,1946,1948
3.0,希利創新_7-11 愿橋,1950upload,20260204,215347,否,AM691808D2-260204215347,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01940,卡機未結帳,,30,30,0,,,1946,1950
4.0,希利創新_7-11 愿橋,1950upload,20260204,214639,否,AM691808D2-260204214639,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01940,卡機未結帳,,30,30,0,,,1946,1950
5.0,希利創新_7-11 愿橋,1950upload,20260204,214314,否,AM691808D2-260204214314,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01940,卡機未結帳,,60,60,0,,,1946,1950
6.0,希利創新_7-11 高鳳儀,1952upload,20260204,214021,否,AM69220CFA-260204214021,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,20,20,0,,,1946,1952
7.0,希利創新_7-11 高鳳儀,1952upload,20260204,213905,否,AM69220CFA-260204213905,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,20,20,0,,,1946,1952
8.0,希利創新_7-11 冠亨,1947upload,20260204,213625,否,AM690F282E-260204213625,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05752,卡機未結帳,,10,10,0,,,1946,1947
9.0,希利創新_7-11 瑞賢,1953upload,20260204,213226,否,AM69081914-260204213226,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01977,卡機未結帳,,10,10,0,,,1946,1953
10.0,希利創新_7-11 瑞賢,1953upload,20260204,213141,否,AM69110B63-260204213141,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01976,卡機未結帳,,10,10,0,,,1946,1953
11.0,希利創新_7-11 瑞賢,1953upload,20260204,212201,否,AM69081914-260204212201,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01977,卡機未結帳,,20,20,0,,,1946,1953
12.0,希利創新_7-11 十興,1949upload,20260204,212053,否,260204212053-69140008131510344511,扣款,1315103445,悠遊卡,一般卡,,免開發票-不印收據,銷售,未列印,,,TV1Q05745,卡機已結帳,2026-02-05 04:07:02,10,10,0,,,1946,1949
13.0,希利創新_7-11 瑞賢,1953upload,20260204,211851,否,AM691A31F3-260204211851,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01974,卡機未結帳,,10,10,0,,,1946,1953
14.0,希利創新_7-11 瑞賢,1953upload,20260204,211808,否,AM69110B63-260204211808,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01976,卡機未結帳,,10,10,0,,,1946,1953
15.0,希利創新_7-11 瑞賢,1953upload,20260204,211716,否,AM691A31F3-260204211716,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01974,卡機未結帳,,10,10,0,,,1946,1953
16.0,希利創新_7-11 愿橋,1950upload,20260204,211213,否,AM69240C45-260204211213,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,20,20,0,,,1946,1950
17.0,希利創新_7-11 愿橋,1950upload,20260204,210954,否,AM69240C45-260204210954,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
18.0,希利創新_7-11 愿橋,1950upload,20260204,205827,否,AM693229E4-260204205827,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01931,卡機未結帳,,10,10,0,,,1946,1950
19.0,希利創新_7-11 愿橋,1950upload,20260204,205700,否,AM69240C45-260204205700,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
20.0,希利創新_7-11 愿橋,1950upload,20260204,205658,否,AM693229E4-260204205658,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01931,卡機未結帳,,20,20,0,,,1946,1950
21.0,希利創新_7-11 瑞賢,1953upload,20260204,205043,否,AM69110B63-260204205043,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01976,卡機未結帳,,10,10,0,,,1946,1953
22.0,希利創新_7-11 科有,1948upload,20260204,205027,否,AM691F15EC-260204205027,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05791,卡機未結帳,,30,30,0,,,1946,1948
23.0,希利創新_7-11 愿橋,1950upload,20260204,205018,否,AM69223B38-260204205018,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04673,卡機未結帳,,30,30,0,,,1946,1950
24.0,希利創新_7-11 冠亨,1947upload,20260204,203503,否,AM69082E5C-260204203503,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,30,30,0,,,1946,1947
25.0,希利創新_7-11 冠亨,1947upload,20260204,203424,否,AM691829A5-260204203424,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05806,卡機未結帳,,20,20,0,,,1946,1947
26.0,希利創新_7-11 冠亨,1947upload,20260204,203332,否,AM690F282E-260204203332,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05752,卡機未結帳,,10,10,0,,,1946,1947
27.0,希利創新_7-11 愿橋,1950upload,20260204,203247,否,AM691808D2-260204203247,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01940,卡機未結帳,,60,60,0,,,1946,1950
28.0,希利創新_7-11 冠亨,1947upload,20260204,203238,否,AM690F282E-260204203238,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05752,卡機未結帳,,10,10,0,,,1946,1947
29.0,希利創新_7-11 愿橋,1950upload,20260204,203034,否,AM691808D2-260204203034,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01940,卡機未結帳,,30,30,0,,,1946,1950
30.0,希利創新_7-11 愿橋,1950upload,20260204,202920,否,AM691808D2-260204202920,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01940,卡機未結帳,,10,10,0,,,1946,1950
31.0,希利創新_7-11 愿橋,1950upload,20260204,202905,否,AM69240C45-260204202905,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,20,20,0,,,1946,1950
32.0,希利創新_7-11 愿橋,1950upload,20260204,202831,否,AM691808D2-260204202831,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01940,卡機未結帳,,10,10,0,,,1946,1950
33.0,希利創新_7-11 愿橋,1950upload,20260204,202807,否,AM69240C45-260204202807,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
34.0,希利創新_7-11 高鳳儀,1952upload,20260204,202221,否,AM69303D35-260204202221,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01825,卡機未結帳,,10,10,0,,,1946,1952
35.0,希利創新_7-11 瑞賢,1953upload,20260204,202141,否,AM69110B63-260204202141,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01976,卡機未結帳,,10,10,0,,,1946,1953
36.0,希利創新_7-11 瑞賢,1953upload,20260204,201836,否,AM69110B63-260204201836,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01976,卡機未結帳,,10,10,0,,,1946,1953
37.0,希利創新_7-11 瑞賢,1953upload,20260204,201255,否,AM69081914-260204201255,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01977,卡機未結帳,,10,10,0,,,1946,1953
38.0,希利創新_7-11 高鳳儀,1952upload,20260204,200530,否,AM6905195C-260204200530,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,30,30,0,,,1946,1952
39.0,希利創新_7-11 高鳳儀,1952upload,20260204,200212,否,AM6905195C-260204200212,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,30,30,0,,,1946,1952
40.0,希利創新_7-11 高鳳儀,1952upload,20260204,200036,否,AM6905195C-260204200036,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,20,20,0,,,1946,1952
41.0,希利創新_7-11 瑞賢,1953upload,20260204,195955,否,AM691A31F3-260204195955,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01974,卡機未結帳,,10,10,0,,,1946,1953
42.0,希利創新_7-11 高鳳儀,1952upload,20260204,195938,否,AM6905195C-260204195938,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
43.0,希利創新_7-11 高鳳儀,1952upload,20260204,195854,否,AM6905195C-260204195854,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
44.0,希利創新_7-11 高鳳儀,1952upload,20260204,195744,否,AM6905195C-260204195744,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
45.0,希利創新_7-11 瑞賢,1953upload,20260204,195638,否,AM69110B63-260204195638,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01976,卡機未結帳,,50,50,0,,,1946,1953
46.0,希利創新_7-11 高鳳儀,1952upload,20260204,195610,否,AM6905195C-260204195610,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
