序號,商店名稱,售貨員帳號,交易日期,交易時間,是否退款,交易序號,交易類別,卡號,發卡公司,卡別,發票號碼,發票類別,發票狀態,發票列印狀態,載具號碼,買方統編,卡機號碼,清分狀態,清分日期,原始金額,實際扣款金額,優惠金額,退款金額,行動支付交易序號,所屬公司ID,公司ID
1.0,希利創新_7-11 科有,1948upload,20260207,232751,否,AM691F15EC-260207232751,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05791,卡機未結帳,,10,10,0,,,1946,1948
2.0,希利創新_7-11 科有,1948upload,20260207,232733,否,AM691F15EC-260207232733,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05791,卡機未結帳,,10,10,0,,,1946,1948
3.0,希利創新_7-11 科有,1948upload,20260207,232712,否,AM691F15EC-260207232712,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05791,卡機未結帳,,10,10,0,,,1946,1948
4.0,希利創新_7-11 十興,1949upload,20260207,232610,否,AM69352EC3-260207232610,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05742,卡機未結帳,,10,10,0,,,1946,1949
5.0,希利創新_7-11 科有,1948upload,20260207,232654,否,AM691F15EC-260207232654,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05791,卡機未結帳,,10,10,0,,,1946,1948
6.0,希利創新_7-11 科有,1948upload,20260207,232635,否,AM691F15EC-260207232635,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05791,卡機未結帳,,10,10,0,,,1946,1948
7.0,希利創新_7-11 十興,1949upload,20260207,232557,否,AM69352EC3-260207232557,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05742,卡機未結帳,,10,10,0,,,1946,1949
8.0,希利創新_7-11 十興,1949upload,20260207,232541,否,AM69352EC3-260207232541,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05742,卡機未結帳,,10,10,0,,,1946,1949
9.0,希利創新_7-11 十興,1949upload,20260207,232522,否,AM69352EC3-260207232522,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05742,卡機未結帳,,10,10,0,,,1946,1949
10.0,希利創新_7-11 科有,1948upload,20260207,232602,否,AM691F15EC-260207232602,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05791,卡機未結帳,,10,10,0,,,1946,1948
