序號,商店名稱,售貨員帳號,交易日期,交易時間,是否退款,交易序號,交易類別,卡號,發卡公司,卡別,發票號碼,發票類別,發票狀態,發票列印狀態,載具號碼,買方統編,卡機號碼,清分狀態,清分日期,原始金額,實際扣款金額,優惠金額,退款金額,行動支付交易序號,所屬公司ID,公司ID
1.0,希利創新_7-11 愿橋,1950upload,20260213,235018,否,AM69240C45-260213235018,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
2.0,希利創新_7-11 愿橋,1950upload,20260213,234948,否,AM69240C45-260213234948,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
3.0,希利創新_7-11 愿橋,1950upload,20260213,234927,否,AM69240C45-260213234927,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
4.0,希利創新_7-11 冠亨,1947upload,20260213,234437,否,AM69082E5C-260213234437,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
5.0,希利創新_7-11 冠亨,1947upload,20260213,234431,否,AM69082E5C-260213234431,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
6.0,希利創新_7-11 冠亨,1947upload,20260213,234410,否,AM69082E5C-260213234410,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
7.0,希利創新_7-11 愿橋,1950upload,20260213,233101,否,AM691808D2-260213233101,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01940,卡機未結帳,,10,10,0,,,1946,1950
8.0,希利創新_7-11 愿橋,1950upload,20260213,233033,否,AM691808D2-260213233033,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01940,卡機未結帳,,10,10,0,,,1946,1950
9.0,希利創新_7-11 瑞賢,1953upload,20260213,230915,否,AM69081914-260213230915,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01977,卡機未結帳,,10,10,0,,,1946,1953
10.0,希利創新_7-11 瑞賢,1953upload,20260213,230906,否,AM69081914-260213230906,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01977,卡機未結帳,,10,10,0,,,1946,1953
