序號,商店名稱,售貨員帳號,交易日期,交易時間,是否退款,交易序號,交易類別,卡號,發卡公司,卡別,發票號碼,發票類別,發票狀態,發票列印狀態,載具號碼,買方統編,卡機號碼,清分狀態,清分日期,原始金額,實際扣款金額,優惠金額,退款金額,行動支付交易序號,所屬公司ID,公司ID
1.0,希利創新_7-11 高鳳儀,1952upload,20260211,235414,否,AM69220CFA-260211235414,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
2.0,希利創新_7-11 高鳳儀,1952upload,20260211,235359,否,AM69220CFA-260211235359,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04664,卡機未結帳,,10,10,0,,,1946,1952
3.0,希利創新_7-11 高鳳儀,1952upload,20260211,235306,否,AM69303D35-260211235306,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01825,卡機未結帳,,10,10,0,,,1946,1952
4.0,希利創新_7-11 高鳳儀,1952upload,20260211,235253,否,AM69303D35-260211235253,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01825,卡機未結帳,,10,10,0,,,1946,1952
5.0,希利創新_7-11 高鳳儀,1952upload,20260211,235227,否,AM69303D35-260211235227,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01825,卡機未結帳,,10,10,0,,,1946,1952
6.0,希利創新_7-11 冠亨,1947upload,20260211,232033,否,AM69082E5C-260211232033,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
7.0,希利創新_7-11 冠亨,1947upload,20260211,231905,否,AM69082E5C-260211231905,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
8.0,希利創新_7-11 冠亨,1947upload,20260211,231842,否,AM69082E5C-260211231842,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
9.0,希利創新_7-11 冠亨,1947upload,20260211,231817,否,AM69082E5C-260211231817,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
10.0,希利創新_7-11 冠亨,1947upload,20260211,231522,否,AM69082E5C-260211231522,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
11.0,希利創新_7-11 冠亨,1947upload,20260211,231506,否,AM69082E5C-260211231506,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
12.0,希利創新_7-11 冠亨,1947upload,20260211,231401,否,AM69082E5C-260211231401,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05716,卡機未結帳,,10,10,0,,,1946,1947
