序號,商店名稱,售貨員帳號,交易日期,交易時間,是否退款,交易序號,交易類別,卡號,發卡公司,卡別,發票號碼,發票類別,發票狀態,發票列印狀態,載具號碼,買方統編,卡機號碼,清分狀態,清分日期,原始金額,實際扣款金額,優惠金額,退款金額,行動支付交易序號,所屬公司ID,公司ID
1.0,希利創新_7-11 科有,1948upload,20260205,232213,否,AM691200AE-260205232213,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05760,卡機未結帳,,10,10,0,,,1946,1948
2.0,希利創新_7-11 科有,1948upload,20260205,232138,否,AM69241B85-260205232138,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05751,卡機未結帳,,10,10,0,,,1946,1948
3.0,希利創新_7-11 科有,1948upload,20260205,232115,否,AM691200AE-260205232115,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05760,卡機未結帳,,10,10,0,,,1946,1948
4.0,希利創新_7-11 愿橋,1950upload,20260205,230327,否,AM69223B38-260205230327,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04673,卡機未結帳,,10,10,0,,,1946,1950
5.0,希利創新_7-11 愿橋,1950upload,20260205,230311,否,AM69223B38-260205230311,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04673,卡機未結帳,,10,10,0,,,1946,1950
6.0,希利創新_7-11 愿橋,1950upload,20260205,230243,否,AM69223B38-260205230243,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04673,卡機未結帳,,10,10,0,,,1946,1950
7.0,希利創新_7-11 愿橋,1950upload,20260205,230227,否,AM69223B38-260205230227,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04673,卡機未結帳,,10,10,0,,,1946,1950
8.0,希利創新_7-11 十興,1949upload,20260205,225054,否,AM693A1782-260205225054,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05747,卡機未結帳,,10,10,0,,,1946,1949
9.0,希利創新_7-11 冠亨,1947upload,20260205,224149,否,AM692023CF-260205224149,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q05769,卡機未結帳,,10,10,0,,,1946,1947
10.0,希利創新_7-11 瑞賢,1953upload,20260205,222544,否,AM69190230-260205222544,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01950,卡機未結帳,,10,10,0,,,1946,1953
11.0,希利創新_7-11 高鳳儀,1952upload,20260205,215627,否,AM69303D35-260205215627,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01825,卡機未結帳,,10,10,0,,,1946,1952
12.0,希利創新_7-11 高鳳儀,1952upload,20260205,215609,否,AM69303D35-260205215609,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01825,卡機未結帳,,10,10,0,,,1946,1952
13.0,希利創新_7-11 高鳳儀,1952upload,20260205,215546,否,AM69303D35-260205215546,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01825,卡機未結帳,,10,10,0,,,1946,1952
