序號,商店名稱,售貨員帳號,交易日期,交易時間,是否退款,交易序號,交易類別,卡號,發卡公司,卡別,發票號碼,發票類別,發票狀態,發票列印狀態,載具號碼,買方統編,卡機號碼,清分狀態,清分日期,原始金額,實際扣款金額,優惠金額,退款金額,行動支付交易序號,所屬公司ID,公司ID
1.0,希利創新_7-11 高鳳儀,1952upload,20260209,235205,否,AM69303D35-260209235205,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01825,卡機未結帳,,10,10,0,,,1946,1952
2.0,希利創新_7-11 高鳳儀,1952upload,20260209,235139,否,AM69303D35-260209235139,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01825,卡機未結帳,,10,10,0,,,1946,1952
3.0,希利創新_7-11 愿橋,1950upload,20260209,231723,否,AM69240C45-260209231723,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
4.0,希利創新_7-11 愿橋,1950upload,20260209,231653,否,AM69240C45-260209231653,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
5.0,希利創新_7-11 愿橋,1950upload,20260209,231628,否,AM69240C45-260209231628,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
6.0,希利創新_7-11 愿橋,1950upload,20260209,231555,否,AM69240C45-260209231555,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
7.0,希利創新_7-11 愿橋,1950upload,20260209,231440,否,AM69240C45-260209231440,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
8.0,希利創新_7-11 愿橋,1950upload,20260209,231424,否,AM69240C45-260209231424,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
9.0,希利創新_7-11 愿橋,1950upload,20260209,231359,否,AM69240C45-260209231359,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
10.0,希利創新_7-11 愿橋,1950upload,20260209,231343,否,AM69240C45-260209231343,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
11.0,希利創新_7-11 愿橋,1950upload,20260209,231305,否,AM69240C45-260209231305,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
12.0,希利創新_7-11 愿橋,1950upload,20260209,231147,否,AM69240C45-260209231147,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
13.0,希利創新_7-11 愿橋,1950upload,20260209,230056,否,AM69240C45-260209230056,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
14.0,希利創新_7-11 愿橋,1950upload,20260209,230009,否,AM69240C45-260209230009,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q04672,卡機未結帳,,10,10,0,,,1946,1950
15.0,希利創新_7-11 高鳳儀,1952upload,20260209,222556,否,AM6905195C-260209222556,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
16.0,希利創新_7-11 高鳳儀,1952upload,20260209,222532,否,AM6905195C-260209222532,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
17.0,希利創新_7-11 高鳳儀,1952upload,20260209,222512,否,AM6905195C-260209222512,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
18.0,希利創新_7-11 高鳳儀,1952upload,20260209,222456,否,AM6905195C-260209222456,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01887,卡機未結帳,,10,10,0,,,1946,1952
19.0,希利創新_7-11 愿橋,1950upload,20260209,222444,否,AM693229E4-260209222444,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01931,卡機未結帳,,10,10,0,,,1946,1950
20.0,希利創新_7-11 瑞賢,1953upload,20260209,222350,否,AM69110B63-260209222350,扣款,,現金,,,免開發票-不印收據,銷售,未列印,,,TV1Q01976,卡機未結帳,,10,10,0,,,1946,1953
